19:33:47:639 [Information Program] Boiling, You're just a miserable copy of me!
16:34:51:939 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.088029E-001, expected: 1.000000E-015. Max iterations: 1000
16:34:52:464 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.227818E-001, expected: 1.000000E-015. Max iterations: 1000
16:34:52:992 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.247734E-001, expected: 1.000000E-015. Max iterations: 1000
16:34:53:503 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.820867E-001, expected: 1.000000E-015. Max iterations: 1000
16:34:54:528 [Information Program] Boiling, You're just a miserable copy of me!
16:34:54:545 [Fatal Program] No, I'm the upgrade!
16:45:54:232 [Information Program] Boiling, You're just a miserable copy of me!
16:45:54:247 [Fatal Program] No, I'm the upgrade!
16:51:51:927 [Information Program] Boiling, You're just a miserable copy of me!
16:52:19:921 [Fatal Program] No, I'm the upgrade!
16:52:38:274 [Information Program] Boiling, You're just a miserable copy of me!
16:52:38:290 [Fatal Program] No, I'm the upgrade!
16:53:13:592 [Information Program] Boiling, You're just a miserable copy of me!
16:53:13:608 [Fatal Program] No, I'm the upgrade!
16:54:47:020 [Information Program] Boiling, You're just a miserable copy of me!
16:54:47:036 [Fatal Program] No, I'm the upgrade!
16:55:23:875 [Information Program] Boiling, You're just a miserable copy of me!
16:55:23:891 [Fatal Program] No, I'm the upgrade!
16:57:59:510 [Information Program] Boiling, You're just a miserable copy of me!
16:57:59:527 [Fatal Program] No, I'm the upgrade!
17:11:26:517 [Information Program] Boiling, You're just a miserable copy of me!
17:11:26:533 [Fatal Program] No, I'm the upgrade!
17:11:49:324 [Information Program] Boiling, You're just a miserable copy of me!
17:11:49:339 [Fatal Program] No, I'm the upgrade!
17:12:12:895 [Information Program] Boiling, You're just a miserable copy of me!
17:12:12:910 [Fatal Program] No, I'm the upgrade!
17:12:34:253 [Information Program] Boiling, You're just a miserable copy of me!
17:12:34:268 [Fatal Program] No, I'm the upgrade!
17:12:57:487 [Information Program] Boiling, You're just a miserable copy of me!
17:12:57:503 [Fatal Program] No, I'm the upgrade!
17:14:38:863 [Information Program] Boiling, You're just a miserable copy of me!
17:14:38:879 [Fatal Program] No, I'm the upgrade!
17:16:14:444 [Information Program] Boiling, You're just a miserable copy of me!
17:16:14:466 [Fatal Program] No, I'm the upgrade!
17:19:41:233 [Information Program] Boiling, You're just a miserable copy of me!
17:19:41:248 [Fatal Program] No, I'm the upgrade!
22:00:40:401 [Information Program] Boiling, You're just a miserable copy of me!
22:00:40:426 [Fatal Program] No, I'm the upgrade!
22:02:00:089 [Information Program] Boiling, You're just a miserable copy of me!
22:02:00:106 [Fatal Program] No, I'm the upgrade!
22:03:41:244 [Information Program] Boiling, You're just a miserable copy of me!
22:03:41:260 [Fatal Program] No, I'm the upgrade!
22:05:06:056 [Information Program] Boiling, You're just a miserable copy of me!
22:05:06:072 [Fatal Program] No, I'm the upgrade!
22:06:03:014 [Information Program] Boiling, You're just a miserable copy of me!
22:06:03:032 [Fatal Program] No, I'm the upgrade!
22:09:05:122 [Information Program] Boiling, You're just a miserable copy of me!
22:09:05:139 [Fatal Program] No, I'm the upgrade!
22:09:51:721 [Information Program] Boiling, You're just a miserable copy of me!
22:09:51:738 [Fatal Program] No, I'm the upgrade!
22:17:56:681 [Information Program] Boiling, You're just a miserable copy of me!
22:17:56:697 [Fatal Program] No, I'm the upgrade!
22:21:35:146 [Information Program] Boiling, You're just a miserable copy of me!
22:21:35:164 [Fatal Program] No, I'm the upgrade!
22:23:22:711 [Information Program] Boiling, You're just a miserable copy of me!
22:23:22:730 [Fatal Program] No, I'm the upgrade!
22:24:35:670 [Information Program] Boiling, You're just a miserable copy of me!
22:24:35:688 [Fatal Program] No, I'm the upgrade!
23:04:29:835 [Information Program] Boiling, You're just a miserable copy of me!
23:04:29:851 [Fatal Program] No, I'm the upgrade!
09:32:07:487 [Information Program] Boiling, You're just a miserable copy of me!
09:32:07:510 [Fatal Program] No, I'm the upgrade!
16:27:54:780 [Information Program] Boiling, You're just a miserable copy of me!
16:27:54:805 [Fatal Program] No, I'm the upgrade!
16:28:09:427 [Information Program] Boiling, You're just a miserable copy of me!
16:28:09:443 [Fatal Program] No, I'm the upgrade!
16:28:17:581 [Information Program] Boiling, You're just a miserable copy of me!
16:28:17:597 [Fatal Program] No, I'm the upgrade!
16:28:26:219 [Information Program] Boiling, You're just a miserable copy of me!
16:28:26:235 [Fatal Program] No, I'm the upgrade!
16:28:27:038 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.234569E-002, expected: 1.000000E-015. Max iterations: 1000
16:28:27:558 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.952752E-001, expected: 1.000000E-015. Max iterations: 1000
16:28:28:072 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.701974E-001, expected: 1.000000E-015. Max iterations: 1000
16:28:28:583 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.709857E-001, expected: 1.000000E-015. Max iterations: 1000
16:28:29:094 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.709561E-001, expected: 1.000000E-015. Max iterations: 1000
16:28:29:606 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.709572E-001, expected: 1.000000E-015. Max iterations: 1000
16:28:30:118 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.709572E-001, expected: 1.000000E-015. Max iterations: 1000
16:28:42:444 [Information Program] Boiling, You're just a miserable copy of me!
16:28:42:460 [Fatal Program] No, I'm the upgrade!
16:28:55:745 [Information Program] Boiling, You're just a miserable copy of me!
16:28:55:761 [Fatal Program] No, I'm the upgrade!
16:29:05:544 [Information Program] Boiling, You're just a miserable copy of me!
16:29:05:564 [Fatal Program] No, I'm the upgrade!
16:30:05:192 [Information Program] Boiling, You're just a miserable copy of me!
16:30:05:212 [Fatal Program] No, I'm the upgrade!
16:30:06:613 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.654743E-007, expected: 1.000000E-015. Max iterations: 1000
16:30:07:708 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.036499E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:08:767 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.054135E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:09:555 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.082276E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:10:204 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.043913E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:10:970 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.089558E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:21:826 [Information Program] Boiling, You're just a miserable copy of me!
16:30:21:842 [Fatal Program] No, I'm the upgrade!
16:30:22:648 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.302170E-002, expected: 1.000000E-015. Max iterations: 1000
16:30:23:184 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.249604E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:23:703 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.771681E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:24:221 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.066683E-003, expected: 1.000000E-015. Max iterations: 1000
16:30:24:741 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.032545E-003, expected: 1.000000E-015. Max iterations: 1000
16:30:25:260 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.149853E-003, expected: 1.000000E-015. Max iterations: 1000
16:30:25:779 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.165948E-003, expected: 1.000000E-015. Max iterations: 1000
16:30:26:296 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.170588E-003, expected: 1.000000E-015. Max iterations: 1000
16:30:33:652 [Information Program] Boiling, You're just a miserable copy of me!
16:30:33:667 [Fatal Program] No, I'm the upgrade!
16:30:34:471 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.396461E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:34:996 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.985096E-007, expected: 1.000000E-015. Max iterations: 1000
16:30:35:514 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.176431E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:36:037 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.383287E-005, expected: 1.000000E-015. Max iterations: 1000
16:30:36:555 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 8.858556E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:37:070 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.158838E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:37:588 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.552682E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:38:106 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.507553E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:38:627 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.514322E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:39:154 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.513554E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:39:672 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.513660E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:40:191 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.513648E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:43:908 [Information Program] Boiling, You're just a miserable copy of me!
16:30:43:924 [Fatal Program] No, I'm the upgrade!
16:30:44:722 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.064572E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:45:247 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.026889E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:45:766 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.328356E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:46:288 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.816282E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:46:806 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.829143E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:47:324 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.563934E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:47:842 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.580349E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:48:362 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.253317E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:48:881 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.789828E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:49:406 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.843881E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:49:923 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.003658E-005, expected: 1.000000E-015. Max iterations: 1000
16:30:50:439 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.273633E-006, expected: 1.000000E-015. Max iterations: 1000
16:30:50:955 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.492991E-005, expected: 1.000000E-015. Max iterations: 1000
16:30:56:881 [Information Program] Boiling, You're just a miserable copy of me!
16:30:56:897 [Fatal Program] No, I'm the upgrade!
16:30:57:709 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.528660E-004, expected: 1.000000E-015. Max iterations: 1000
16:30:58:232 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.424138E-005, expected: 1.000000E-015. Max iterations: 1000
16:30:58:752 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.437737E-005, expected: 1.000000E-015. Max iterations: 1000
16:30:59:272 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.534448E-005, expected: 1.000000E-015. Max iterations: 1000
16:30:59:788 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.567254E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:00:306 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.575818E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:00:824 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578017E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:01:341 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578534E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:01:858 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578704E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:02:389 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578655E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:02:908 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578775E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:03:424 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578622E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:03:941 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578870E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:04:472 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578513E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:04:989 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.579060E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:05:504 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.578277E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:06:022 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.579423E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:06:538 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.577703E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:07:054 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.580272E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:07:572 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.576493E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:08:087 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.582102E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:08:604 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.573877E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:09:120 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.586149E-005, expected: 1.000000E-015. Max iterations: 1000
16:31:15:379 [Information Program] Boiling, You're just a miserable copy of me!
16:31:15:395 [Fatal Program] No, I'm the upgrade!
16:31:20:842 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.528660E-004, expected: 1.000000E-015. Max iterations: 10000
16:31:35:446 [Information Program] Boiling, You're just a miserable copy of me!
16:31:35:461 [Fatal Program] No, I'm the upgrade!
16:31:36:276 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 9.244699E-003, expected: 1.000000E-015. Max iterations: 1000
16:31:36:801 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.133509E-001, expected: 1.000000E-015. Max iterations: 1000
16:31:37:320 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 9.834684E-003, expected: 1.000000E-015. Max iterations: 1000
16:31:37:841 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.963273E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:38:359 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.126844E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:38:878 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.489825E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:39:396 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.246659E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:39:915 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.379366E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:40:435 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.297212E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:40:960 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.344738E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:41:478 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.316425E-002, expected: 1.000000E-015. Max iterations: 1000
16:31:45:259 [Information Program] Boiling, You're just a miserable copy of me!
16:31:45:274 [Fatal Program] No, I'm the upgrade!
16:32:24:025 [Information Program] Boiling, You're just a miserable copy of me!
16:32:24:041 [Fatal Program] No, I'm the upgrade!
16:34:41:137 [Information Program] Boiling, You're just a miserable copy of me!
16:34:41:153 [Fatal Program] No, I'm the upgrade!
16:34:56:815 [Information Program] Boiling, You're just a miserable copy of me!
16:34:56:831 [Fatal Program] No, I'm the upgrade!
16:35:18:357 [Information Program] Boiling, You're just a miserable copy of me!
16:35:18:374 [Fatal Program] No, I'm the upgrade!
16:44:16:635 [Information Program] Boiling, You're just a miserable copy of me!
16:44:16:652 [Fatal Program] No, I'm the upgrade!
16:44:48:137 [Information Program] Boiling, You're just a miserable copy of me!
16:44:48:153 [Fatal Program] No, I'm the upgrade!
16:45:14:133 [Information Program] Boiling, You're just a miserable copy of me!
16:45:14:149 [Fatal Program] No, I'm the upgrade!
16:45:38:659 [Information Program] Boiling, You're just a miserable copy of me!
16:45:38:674 [Fatal Program] No, I'm the upgrade!
16:47:15:635 [Information Program] Boiling, You're just a miserable copy of me!
16:47:15:651 [Fatal Program] No, I'm the upgrade!
16:47:46:830 [Information Program] Boiling, You're just a miserable copy of me!
16:47:46:846 [Fatal Program] No, I'm the upgrade!
16:48:02:774 [Information Program] Boiling, You're just a miserable copy of me!
16:48:02:790 [Fatal Program] No, I'm the upgrade!
16:48:11:815 [Information Program] Boiling, You're just a miserable copy of me!
16:48:11:831 [Fatal Program] No, I'm the upgrade!
16:48:34:253 [Information Program] Boiling, You're just a miserable copy of me!
16:48:34:269 [Fatal Program] No, I'm the upgrade!
16:48:44:469 [Information Program] Boiling, You're just a miserable copy of me!
16:48:44:485 [Fatal Program] No, I'm the upgrade!
16:49:17:094 [Information Program] Boiling, You're just a miserable copy of me!
16:49:17:109 [Fatal Program] No, I'm the upgrade!
16:50:11:732 [Information Program] Boiling, You're just a miserable copy of me!
16:50:11:748 [Fatal Program] No, I'm the upgrade!
16:58:10:768 [Information Program] Boiling, You're just a miserable copy of me!
16:58:10:783 [Fatal Program] No, I'm the upgrade!
17:01:02:577 [Information Program] Boiling, You're just a miserable copy of me!
17:01:02:592 [Fatal Program] No, I'm the upgrade!
17:03:17:426 [Information Program] Boiling, You're just a miserable copy of me!
17:03:17:442 [Fatal Program] No, I'm the upgrade!
17:11:39:594 [Information Program] Boiling, You're just a miserable copy of me!
17:11:39:610 [Fatal Program] No, I'm the upgrade!
17:12:49:591 [Information Program] Boiling, You're just a miserable copy of me!
17:12:49:607 [Fatal Program] No, I'm the upgrade!
17:13:06:103 [Information Program] Boiling, You're just a miserable copy of me!
17:13:06:119 [Fatal Program] No, I'm the upgrade!
17:15:00:280 [Information Program] Boiling, You're just a miserable copy of me!
17:15:00:296 [Fatal Program] No, I'm the upgrade!
17:21:07:887 [Information Program] Boiling, You're just a miserable copy of me!
17:21:07:902 [Fatal Program] No, I'm the upgrade!
18:54:17:810 [Information Program] Boiling, You're just a miserable copy of me!
18:54:17:825 [Fatal Program] No, I'm the upgrade!
18:54:18:620 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.495234E-002, expected: 1.000000E-015. Max iterations: 1000
18:54:19:138 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.157603E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:19:654 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.337376E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:20:172 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.762141E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:20:685 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.236273E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:21:198 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.123716E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:21:711 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.150878E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:22:228 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.147166E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:22:742 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.146167E-004, expected: 1.000000E-015. Max iterations: 1000
18:54:23:263 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.146128E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:05:149 [Information Program] Boiling, You're just a miserable copy of me!
18:55:05:165 [Fatal Program] No, I'm the upgrade!
18:55:05:975 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.495234E-002, expected: 1.000000E-015. Max iterations: 1000
18:55:06:505 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.157603E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:07:024 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.337376E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:07:547 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.762141E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:08:071 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.236273E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:08:589 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.123716E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:09:109 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.150878E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:09:629 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.147166E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:10:150 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.146167E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:10:685 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.146128E-004, expected: 1.000000E-015. Max iterations: 1000
18:55:22:170 [Information Program] Boiling, You're just a miserable copy of me!
18:55:22:186 [Fatal Program] No, I'm the upgrade!
23:22:48:776 [Information Program] Boiling, You're just a miserable copy of me!
23:22:48:800 [Fatal Program] No, I'm the upgrade!
23:32:33:990 [Information Program] Boiling, You're just a miserable copy of me!
23:32:34:006 [Fatal Program] No, I'm the upgrade!
23:40:52:400 [Information Program] Boiling, You're just a miserable copy of me!
23:40:52:415 [Fatal Program] No, I'm the upgrade!
23:52:07:737 [Information Program] Boiling, You're just a miserable copy of me!
23:52:07:753 [Fatal Program] No, I'm the upgrade!
23:52:16:976 [Information Program] Boiling, You're just a miserable copy of me!
23:52:16:992 [Fatal Program] No, I'm the upgrade!
23:52:32:926 [Information Program] Boiling, You're just a miserable copy of me!
23:52:32:942 [Fatal Program] No, I'm the upgrade!
23:53:20:508 [Information Program] Boiling, You're just a miserable copy of me!
23:53:20:524 [Fatal Program] No, I'm the upgrade!
00:07:39:572 [Information Program] Boiling, You're just a miserable copy of me!
00:07:39:588 [Fatal Program] No, I'm the upgrade!
00:13:05:035 [Information Program] Boiling, You're just a miserable copy of me!
00:13:05:051 [Fatal Program] No, I'm the upgrade!
00:14:25:174 [Information Program] Boiling, You're just a miserable copy of me!
00:14:25:190 [Fatal Program] No, I'm the upgrade!
00:15:35:522 [Information Program] Boiling, You're just a miserable copy of me!
00:15:35:538 [Fatal Program] No, I'm the upgrade!
00:16:59:449 [Information Program] Boiling, You're just a miserable copy of me!
00:16:59:465 [Fatal Program] No, I'm the upgrade!
00:19:35:329 [Information Program] Boiling, You're just a miserable copy of me!
00:19:35:345 [Fatal Program] No, I'm the upgrade!
